selling_price,km_driven,fuel,seller_type,transmission,owner,age
12.487488878546145,0.2522901481199455,0,1,0,1,0.21428571428571427
13.698977865303197,0.005206445901127987,0,1,0,1,0.07142857142857142
12.807655372286902,0.2522901481199455,0,1,0,1,0.25
12.765691290604371,0.1972440240551562,0,1,0,1,0.21428571428571427
13.437175577097312,0.27522603314694105,1,0,0,1,0.14285714285714285
13.753636218075409,0.012151431887302236,1,1,0,1,0.07142857142857142
13.815511557963774,0.1834824930389589,1,0,0,1,0.10714285714285714
13.955273369904273,0.0688030679039812,0,1,0,1,0.03571428571428571
13.017005083966255,0.5319336327230859,1,0,0,2,0.14285714285714285
13.28787951079572,0.29816191817393656,1,1,0,1,0.17857142857142858
13.592368256649284,0.1834824930389589,1,0,0,1,0.10714285714285714
12.861001210669146,0.2660516791361428,1,1,0,1,0.2857142857142857
14.508658238524095,0.0688030679039812,1,0,1,1,0.25
12.367345048436391,0.2477029711145464,0,1,0,1,0.2857142857142857
13.369225017834633,0.2568773251253446,1,1,0,1,0.10714285714285714
10.859018228147887,0.5504566534708875,0,0,0,3,0.5
11.289794413577894,0.41284134330891425,3,0,0,2,0.39285714285714285
11.849404844423074,0.3210978032009321,0,0,0,2,0.2857142857142857
11.695255355062795,0.41284134330891425,0,0,0,2,0.42857142857142855
11.407564949312402,0.9770641149730045,1,0,0,1,0.42857142857142855
12.100717685412471,0.5504566534708875,1,0,0,1,0.2857142857142857
14.220976332738882,0.09173895293097675,1,0,0,1,0.10714285714285714
13.45883704259595,0.04586718287698567,0,0,0,1,0.10714285714285714
12.560247968016562,0.3669695732549232,1,0,0,2,0.2857142857142857
12.873904582205107,0.41284134330891425,0,0,0,1,0.17857142857142858
11.736077016252437,0.3669695732549232,0,0,0,1,0.42857142857142855
12.323860125621126,0.27522603314694105,0,0,0,2,0.42857142857142855
12.07254696717504,0.6376130165734705,0,0,0,2,0.32142857142857145
13.887832149776026,0.7339437336868517,1,0,0,2,0.32142857142857145
12.611541086966115,0.6880719636328607,1,0,0,1,0.21428571428571427
13.45883704259595,0.7477052647030491,1,0,0,4,0.35714285714285715
11.407576060361786,0.5504566534708875,1,1,0,1,0.39285714285714285
11.695255355062795,0.5504566534708875,1,0,0,2,0.32142857142857145
12.301387370778713,0.4587131133629053,1,0,0,2,0.2857142857142857
12.611541086966115,0.6422001935788696,1,1,0,1,0.17857142857142858
12.100717685412471,0.39907981229271694,1,1,0,2,0.35714285714285715
12.04355959836804,0.3210978032009321,0,0,0,1,0.25
12.611541086966115,0.22935426309294996,0,0,0,2,0.17857142857142858
13.864301674514206,0.3210978032009321,1,0,0,1,0.21428571428571427
12.611541086966115,0.6880719636328607,1,0,0,1,0.21428571428571427
13.049794835104816,0.11467483795797229,1,0,0,1,0.07142857142857142
11.775297421715827,0.3669695732549232,1,0,0,2,0.32142857142857145
12.983101310070822,0.04586718287698567,0,0,0,1,0.07142857142857142
13.122365377402328,0.14678507699576604,0,0,0,1,0.07142857142857142
12.206077645517674,0.04586718287698567,0,0,0,1,0.07142857142857142
13.345508528717259,0.23852861710374818,0,1,0,1,0.10714285714285714
11.608244735642321,0.5504566534708875,1,0,0,3,0.5
13.592368256649284,0.051555282363680566,0,0,0,1,0.03571428571428571
13.102162710901053,0.3027490951793357,1,1,0,1,0.10714285714285714
13.68767832281738,0.2935747411685375,1,1,0,1,0.10714285714285714
12.577639650232573,0.22476708608755086,0,0,0,1,0.25
11.661345470088502,0.4587131133629053,1,0,0,2,0.5
12.793862088206213,0.12155560346607094,0,0,0,1,0.07142857142857142
11.082157933374816,0.4587131133629053,0,0,0,2,0.6428571428571429
13.437175577097312,0.3302721572117303,1,1,0,1,0.10714285714285714
12.611541086966115,0.22935426309294996,0,0,0,1,0.39285714285714285
13.429849547739444,0.20183120106055533,1,1,0,1,0.10714285714285714
13.815511557963774,0.27522603314694105,1,0,0,2,0.10714285714285714
11.51293546492023,0.5504566534708875,1,0,0,1,0.6428571428571429
11.982935344196433,0.5963284235248786,1,0,0,1,0.35714285714285715
13.017005083966255,0.3210978032009321,1,0,0,1,0.10714285714285714
13.304686600863562,0.09173895293097675,0,0,0,1,0.21428571428571427
12.100717685412471,0.27522603314694105,1,0,0,2,0.39285714285714285
11.51293546492023,0.8944949288758205,0,0,0,1,0.4642857142857143
11.695255355062795,0.41284134330891425,0,0,0,2,0.35714285714285715
11.775297421715827,0.3669695732549232,0,0,0,3,0.5
11.982935344196433,0.7110078486598562,0,0,0,1,0.32142857142857145
13.664688831019712,0.16054660801196335,1,0,0,1,0.03571428571428571
13.384729180332174,0.09173895293097675,0,0,0,2,0.07142857142857142
11.51293546492023,0.3669695732549232,0,0,0,2,0.35714285714285715
12.549665896013254,0.09173895293097675,0,0,0,1,0.10714285714285714
12.611541086966115,0.22935426309294996,0,0,0,1,0.39285714285714285
12.506180941677357,0.5045848834168964,0,0,0,2,0.35714285714285715
13.217675375388819,0.13302354597956872,1,0,0,1,0.25
13.017005083966255,0.5504566534708875,1,0,0,1,0.25
12.971542813248437,0.3210978032009321,1,0,0,2,0.32142857142857145
12.765691290604371,0.1834824930389589,0,0,0,1,0.25
12.765691290604371,0.09173895293097675,0,0,0,1,0.10714285714285714
12.345834587905333,0.22935426309294996,0,0,0,2,0.25
11.608244735642321,0.22935426309294996,0,0,0,1,0.25
12.886643575525625,0.22476708608755086,0,0,0,2,0.2857142857142857
13.384729180332174,0.3210978032009321,1,0,1,2,0.32142857142857145
12.765691290604371,0.41284134330891425,1,0,0,2,0.32142857142857145
14.151983508870947,0.11467483795797229,1,1,0,1,0.0
12.793862088206213,0.01834412084459103,0,0,0,1,0.07142857142857142
14.077875591662238,0.04586718287698567,1,0,0,1,0.07142857142857142
13.592368256649284,0.0688030679039812,1,0,0,1,0.17857142857142858
12.345834587905333,0.13761072298496782,0,0,0,1,0.07142857142857142
12.660331092405906,0.188069670044358,0,1,0,1,0.21428571428571427
11.736077016252437,0.1284363689741696,0,0,0,1,0.2857142857142857
13.45883704259595,0.07339024490938031,0,0,0,1,0.03571428571428571
11.982935344196433,0.3210978032009321,0,0,0,1,0.17857142857142858
13.180634172318978,0.04968371414547773,0,1,0,1,0.10714285714285714
13.343907249914384,0.06733975843925889,1,1,0,1,0.07142857142857142
12.429220196836383,0.22935426309294996,0,0,0,1,0.39285714285714285
13.279368835614243,0.23394144009834908,1,1,0,1,0.14285714285714285
13.122365377402328,0.11467483795797229,0,0,0,1,0.17857142857142858
12.765691290604371,0.13761072298496782,0,0,0,1,0.21428571428571427
13.112315061750808,0.3669695732549232,1,1,0,1,0.21428571428571427
13.122365377402328,0.22935426309294996,0,0,0,1,0.10714285714285714
12.971542813248437,0.9174308139028161,1,0,0,1,0.17857142857142858
12.75130259456002,0.20183120106055533,0,1,0,1,0.25
13.122365377402328,0.04586718287698567,0,0,0,1,0.17857142857142858
12.959846800844963,0.0899040821288171,0,0,0,1,0.03571428571428571
11.289794413577894,0.1834824930389589,0,0,0,2,0.5357142857142857
11.571203807011969,0.22935426309294996,1,0,0,1,0.32142857142857145
12.100717685412471,0.2143541942852949,0,0,0,1,0.39285714285714285
12.429220196836383,0.1834824930389589,0,0,0,2,0.17857142857142858
12.765691290604371,0.3669695732549232,1,0,0,1,0.32142857142857145
11.002116507732017,0.3669695732549232,0,0,0,2,0.6428571428571429
13.710151153416941,0.11008766095257318,1,0,0,1,0.07142857142857142
13.45883704259595,0.0971059500272937,1,1,0,1,0.10714285714285714
14.508658238524095,0.7670769131968496,1,1,1,1,0.25
13.815511557963774,0.1834824930389589,1,0,0,1,0.10714285714285714
14.13396501635527,0.27522603314694105,1,0,1,1,0.32142857142857145
14.403297778421795,0.6488057284666443,1,1,0,1,0.14285714285714285
11.982935344196433,0.5504566534708875,1,0,0,3,0.4642857142857143
13.171155446333852,0.6422001935788696,0,0,1,1,0.2857142857142857
13.652992804936396,0.9762109000500002,1,1,0,1,0.2857142857142857
13.592368256649284,0.13761072298496782,1,0,0,1,0.03571428571428571
13.45883704259595,0.40657984669654446,1,1,0,1,0.10714285714285714
13.592368256649284,0.11467483795797229,1,0,0,1,0.07142857142857142
13.26212705890841,0.09173895293097675,0,0,0,2,0.10714285714285714
12.765691290604371,0.5045848834168964,1,0,0,2,0.2857142857142857
12.429220196836383,0.5504566534708875,1,0,0,3,0.42857142857142855
13.304686600863562,0.6865765439291006,1,1,0,2,0.32142857142857145
12.821260987319457,0.4587131133629053,1,0,0,3,0.4642857142857143
11.289794413577894,0.5504566534708875,0,0,0,3,0.5
10.819798284210286,0.5504566534708875,1,0,0,2,0.6071428571428571
13.710151153416941,0.11467483795797229,1,0,0,1,0.07142857142857142
12.611541086966115,0.16054660801196335,0,0,0,2,0.21428571428571427
11.736077016252437,0.1834824930389589,0,0,0,1,0.6428571428571429
13.102162710901053,0.27522603314694105,1,0,0,2,0.17857142857142858
12.611541086966115,0.22935426309294996,1,0,0,2,0.2857142857142857
10.915106645867503,0.11467483795797229,0,0,0,4,0.25
12.765691290604371,0.11467483795797229,0,0,0,1,0.14285714285714285
13.534474352733596,0.03669282886618746,1,0,0,1,0.03571428571428571
13.487007879880162,0.27522603314694105,1,0,0,1,0.10714285714285714
12.345834587905333,0.9174308139028161,1,0,0,3,0.5
13.910821646859095,0.09173895293097675,1,0,0,1,0.07142857142857142
12.899222326086994,0.4587131133629053,0,0,0,1,0.25
12.765691290604371,0.3210978032009321,1,0,0,2,0.17857142857142858
11.976665770490767,0.3119234491901339,1,1,0,1,0.2857142857142857
13.217675375388819,0.17430813902816067,0,1,0,1,0.10714285714285714
12.721888795877375,0.3669695732549232,1,1,0,1,0.25
12.128116509451258,0.3302721572117303,2,1,0,1,0.21428571428571427
12.345834587905333,0.3440336882279276,2,1,0,1,0.2857142857142857
12.323860125621126,0.1972440240551562,0,1,0,1,0.21428571428571427
12.429220196836383,0.5504566534708875,0,0,0,2,0.4642857142857143
12.899222326086994,0.4587131133629053,1,0,0,1,0.17857142857142858
13.060490101343552,0.7477052647030491,1,0,0,1,0.21428571428571427
12.611541086966115,0.11467483795797229,0,0,1,1,0.07142857142857142
11.884495917930655,0.11467483795797229,0,0,0,1,0.32142857142857145
