Screen Size,RAM,Operating System Version,Weight,Price,Category_2 in 1 Convertible,Category_Gaming,Category_Netbook,Category_Notebook,Category_Ultrabook,Category_Workstation,x_res,y_res,isApple,isTouchScreen,cpuSpeed,cpu_tier,ssd_gb,hdd_gb,gpu_power,has_dgpu,isMac
15.6,8,10.0,2.2,15.53703871057726,0,0,0,1,0,0,1920,1080,0,0,5.0,3,256.0,0.0,2.0,1,0
17.3,16,10.0,2.5,16.24046663475555,0,0,0,1,0,0,1920,1080,0,0,8.0,4,512.0,0.0,2.0,1,0
15.6,4,10.0,2.1,15.204374863945135,0,0,0,1,0,0,1366,768,0,0,3.0,0,256.0,0.0,0.0,0,0
15.6,4,10.0,1.86,14.649735770994493,0,0,0,1,0,0,1366,768,0,0,6.0,1,0.0,500.0,0.0,0,0
14.0,8,10.0,1.63,15.79240775374408,0,0,0,1,0,0,1920,1080,0,0,6.0,3,0.0,1024.0,0.0,0,0
14.0,4,10.0,1.65,14.720492821453863,0,0,0,1,0,0,1366,768,0,0,5.0,0,64.0,0.0,0.0,0,0
17.3,16,10.0,2.8,16.3342736389656,0,0,0,1,0,0,1920,1080,0,0,8.0,4,256.0,2048.0,0.0,0,0
17.3,8,10.0,2.5,15.925939129056314,0,0,0,1,0,0,1920,1080,0,0,6.0,3,256.0,0.0,0.0,0,0
15.6,8,10.0,2.36,15.552796255884378,0,0,0,1,0,0,1366,768,0,0,5.0,3,0.0,1024.0,0.0,0,0
15.6,4,10.0,2.2,15.19993041329544,0,0,0,1,0,0,1920,1080,0,0,2.0,2,0.0,1024.0,0.0,0,0
14.0,8,10.0,1.6,15.87736446493964,0,0,0,0,1,0,1920,1080,0,0,8.0,4,256.0,0.0,0.0,0,0
15.6,4,10.0,2.2,15.442046463073376,0,0,0,1,0,0,1920,1080,0,0,7.0,2,256.0,0.0,2.0,1,0
15.6,8,10.0,2.05,15.48649821709597,0,0,0,1,0,0,1366,768,0,0,7.0,4,0.0,1024.0,0.0,0,0
14.0,8,10.0,1.63,15.988590086658506,0,0,0,1,0,0,1920,1080,0,0,8.0,4,256.0,0.0,0.0,0,0
15.6,4,10.0,1.9,14.623764360222353,0,0,0,1,0,0,1366,768,0,0,1.0,1,0.0,1024.0,0.0,0,0
17.3,8,10.0,3.0,15.936657343984376,0,1,0,0,0,0,1920,1080,0,0,5.0,3,128.0,1024.0,4.0,1,0
15.6,4,10.0,2.2,15.305513596207602,0,0,0,1,0,0,1920,1080,0,0,5.0,3,0.0,1024.0,2.0,1,0
13.3,4,10.0,1.32,15.64255817820578,0,0,0,1,0,0,1920,1080,0,0,5.0,3,256.0,0.0,0.0,0,0
17.3,4,10.0,3.0,15.577542682414956,0,0,0,1,0,0,1920,1080,0,0,7.0,2,0.0,1024.0,2.0,1,0
14.0,8,10.0,1.75,16.110431439781085,0,0,0,1,0,0,1920,1080,0,0,6.0,3,256.0,0.0,5.0,1,0
15.6,8,10.0,2.4,15.860250529763324,0,1,0,0,0,0,1920,1080,0,0,8.0,4,256.0,0.0,4.0,1,0
15.6,4,10.0,2.1,15.493164907204584,0,0,0,1,0,0,1366,768,0,0,3.0,3,0.0,500.0,0.0,0,0
15.6,4,10.0,1.86,15.003704223895946,0,0,0,1,0,0,1366,768,0,0,5.0,0,256.0,0.0,0.0,0,0
14.0,8,10.0,1.25,16.095063331817673,0,0,0,0,1,0,1920,1080,0,0,8.0,4,256.0,0.0,0.0,0,0
